Category,Subsystem,Functionality/Mode,What Full Coverage Requires,Current Test Case(s),Coverage Status,Notes,QEMU Model Status,QEMU Notes
Crypto,HASH,Multi-part/streaming API (HAL_HASH_Accumulate + Start),"Feed a buffer in multiple chunks across separate calls, verify digest matches single-shot",,Not Covered,Only single-call *_Start APIs exercised; chunked/accumulate path untested,Modeled,"hash.c buffers into a message array incrementally and only finalizes at digest-read time (per CHANGELOG's ""already properly incremental"" finding), so a chunked/multi-write input sequence should produce an identical digest to single-shot."
Crypto,HASH,SWAP/datatype modes (8b/16b/32b/half-word swap),"Exercise HASH_DATATYPE_16B/1B/BIT alongside the currently-used 8B, verify digest still correct",,Not Covered,All cases fix DataType=HASH_DATATYPE_8B; other datatype/bit-swap modes unverified,Not Modeled,hash.c grep shows no DATATYPE/swap-mode handling distinct from the 8-bit path used by all current cases; unverified/likely unimplemented for other datatypes.
Crypto,CRC,"CRC32 throughput + correctness, power-on-default poly","Fixed buffer, direct register drive, checked vs offline reference",case_crypto_crc32.c,Covered,,Modeled,"hw/misc/gnw_h7b0_crc.c is a real table-driven CRC-32 engine (CHANGELOG: rewritten from bit-serial to table-driven, verified bit-identical across 64,000 trials) with the correct POL/IDR reset values (CHANGELOG's CRC_POL 0x04C11DB7 fix)."
Crypto,CRC,"Reconfigured polynomial/init (CRC-16, custom poly, non-default INIT)","Program CRC->POL/INIT to a non-default value, verify result changes correctly",,Not Covered,Explicitly noted as untested in case_crypto_crc32.c's own header comment,Modeled,"gnw_h7b0_crc.c:31-127 explicitly supports all POLYSIZE widths and rebuilds its CRC table lazily whenever s->pol changes, i.e. a real generalized polynomial engine, not hardcoded to the default poly."
Crypto,CRC,Reverse-in/reverse-out and byte-order modes,"Exercise CR.REV_IN/REV_OUT bits, verify against reference implementation of each mode",,Not Covered,,Modeled,"gnw_h7b0_crc.c:94-114 implements REV_IN input bit-reversal and REV_OUT output bit-reversal via a real bit_reverse() helper, not stubbed."
Crypto,CRC,IDR (independent data register) scratch-byte correctness,"Write/read CRC->IDR, verify it's independent of the CRC calculation itself",,Not Covered,,Modeled,"gnw_h7b0_crc.c:124 initializes IDR from its own reset value and read/write handlers (lines 137,172) treat it as an independent scratch register, not tied into the CRC computation."
Crypto,CRYP (AES/TDES),AES-ECB/CBC/CTR/GCM/CCM encrypt-decrypt round-trip correctness,"Known-answer-test vectors (e.g. NIST AES-128 KAT) through HAL_CRYP, compare ciphertext/plaintext",,Not Covered,No HAL_CRYP driver vendored in fw/Drivers (per case_crypto_crc32.c's own comment about vendored HAL subset) - would need vendoring a new HAL module first,Partial,"hw/misc/gnw_h7b0_cryp.c is a real, from-scratch AES-128/192/256 core (sbox/rsbox/key-expansion) with real GCM phase-machine (HEADER/PAYLOAD/FINAL) and ECB/CBC/CTR block processing (cryp.c:474-508), but the file's own comments say ECB/CBC/CTR aren't observed live on the actual boot path (Mario's use is GCM-only) so those non-GCM modes are implemented but not confirmed against real hardware; TDES is not implemented at all (AES only)."
Crypto,RNG,"Random output statistical sanity (non-repeating, SR.DRDY behavior)","Enable clock+peripheral, pull N words, verify DRDY handshake and basic non-degeneracy (not full entropy audit)",,Not Covered,"RNG currently only probed for clock-gating fault behavior (unclocked-access test), never actually enabled/generates a number",Not Modeled,"create_unimplemented_device(""RNG"", 0x48021800, ...) (gnw_h7b0_soc.c:223) - reads return 0/log only, no DRDY handshake or random output of any kind."
Crypto,RNG,Seed-error / clock-error flag handling (CEIS/SEIS),"Induce or simulate a seed error, verify SR flags and recovery per RM",,Not Covered,,Not Modeled,Same create_unimplemented_device stub as above; no SR/CEIS/SEIS logic exists.
Crypto,OTFDEC1/OTFDEC2,On-the-fly decryption of OSPI-mapped external flash region,"Configure a decryption region + key, verify decrypted read matches known plaintext",,Not Applicable to this board,No evidence this project's OSPI usage relies on on-the-fly decryption; external flash read is a plain command-mode Fast Read with no OTFDEC config,N/A,"gnw_h7b0_otfdec.c exists as a real device object (177 lines, sysbus_realize'd in gnw_h7b0_soc.c) but mirrors the diag CSV's N/A since this board's OSPI usage is plain command-mode reads with no OTFDEC region configured."
DMA,DMA1,Stream liveness (CR/NDTR/M0AR/PAR + LISR) probe,Register readback each main-loop iteration,diag_probes.c (DMA_STREAM probe id 1),Covered,Stream0 only,Modeled,"hw/misc/gnw_h7b0_dma.c is a real per-stream transfer model (not a stub), extended specifically to fix SAI1's transfer-complete stall (CHANGELOG); CR/NDTR/M0AR/PAR/LISR readback is real register state."
DMA,DMA1,Memory-to-memory transfer correctness+throughput (non-HASH use),"Configure a DMA1 M2M channel independent of HASH DMA cases, verify transferred data",,Partial,"DMA1 is exercised as HASH's input-DMA and SAI1's TX-DMA, but no dedicated generic DMA1 M2M correctness/throughput case exists standalone",Partial,"""DMA1 is exercised as HASH's input-DMA and SAI1's TX-DMA, but no dedicated generic DMA1 M2M correctness/throughput case exists standalone"",Modeled,gnw_h7b0_dma.c implements real per-stream data transfer (cpu_physical_memory read/write per transfer, per grep) used identically by both the HASH-input and SAI1-output paths, so a generic M2M channel should work the same way; no gap specific to M2M mode was found."
DMA,DMA1,All 8 streams (Stream1-7) liveness/usage,Extend probe or add dedicated case per stream,,Not Covered,Only Stream0 (HASH input DMA) is probed; Stream1-7 (e.g. SAI1's actual stream) unprobed individually,Modeled,"gnw_h7b0_soc.c:526-537 wires all GNW_H7B0_DMA_STREAM_COUNT (16, covering DMA1 Stream0-7 and DMA2 Stream0-7) streams to real distinct IRQ lines via the same real per-stream gnw_h7b0_dma.c model, not just Stream0."
DMA,DMA2,Any usage/liveness,Register probe or transfer case,,Not Covered,DMA2 never initialized anywhere in this firmware,Modeled,"Same gnw_h7b0_dma.c device backs both DMA1 and DMA2 address ranges/streams (gnw_h7b0_soc.c:521-537); the underlying model is real, just unexercised by any current test case."
DMA,DMAMUX1,"Request-line routing correctness (e.g. DMA_REQUEST_SAI1_A, HASH_IN)",Verify DMAMUX1_Channelx.CxCR request ID matches configured peripheral request,,Not Covered,Directly relevant to the still-open SAI1 DMA-stall bug tracked in test-coverage-plan.md's Status section - a DMAMUX-routing register check could help root-cause it,Not Modeled,"create_unimplemented_device(""DMAMUX1"", 0x40020800, ...) (gnw_h7b0_soc.c:215) - no request-line routing logic; gnw_h7b0_dma.c's stream-to-peripheral association (e.g. SAI1/HASH) is hardcoded in the device model rather than driven by a real DMAMUX request-ID register."
DMA,DMAMUX2,D3-domain request routing,Register check,,Not Applicable to this board,No D3-domain peripheral (BDMA-driven) is used,N/A,"create_unimplemented_device(""DMAMUX2"", ...) (gnw_h7b0_soc.c:242); mirrors diag CSV's N/A since D3-domain peripherals aren't used on this board either."
DMA,HSEM,Hardware semaphore correctness (dual-core coordination),"Lock/unlock via HSEM registers, verify lock semantics",,Not Applicable to this board,STM32H7B0 is single-core (no Cortex-M4); HSEM largely moot but block is present in SVD - confirm chip variant before fully ruling out,N/A,"create_unimplemented_device(""HSEM"", ...) (gnw_h7b0_soc.c:222); mirrors diag CSV's N/A."
Display,LTDC,Layer reload/composite timing,Timed layer-config-reload loop,case_ltdc_frame_composite.c,Covered,"Layer 2, always disabled, never visible on real screen",N/A,"hw/display/gnw_h7b0_ltdc.c is a real, extensively-developed compositor (1291 lines); reload/composite ""timing"" is a TCG-throughput property, not a hardware-cycle-accurate timing model, but functional layer-reload correctness itself is real (see next rows)."
Display,LTDC,Framebuffer pixel-format correctness (RGB565/ARGB8888/L8 etc. across layers),"Render known pattern, read back framebuffer memory, compare per format",,Not Covered,"Only timing is measured, not per-format rendering correctness; AL44 pixel format has known qemu-gnw bug history per test-coverage-plan.md",Partial,"gnw_h7b0_ltdc.c implements real per-format pixel resolution/blending (per CHANGELOG's per-layer compositing generalization: color key/window-clip/blend/dither/L2 fixes), and a real AL44 bug was found and fixed (commit 77e86eacdd per recent git log), but no dedicated per-format correctness test exists in either project to catch a future regression."
Display,LTDC,Layer 1 (actually visible) correctness,Same as above but for the layer actually driving the physical LCD,,Not Covered,Current case deliberately uses the never-visible Layer 2 to avoid on-screen side effects,Modeled,"Same real compositor handles both layers identically (gnw_h7b0_ltdc.c); Layer1 has had the most real-hardware-driven bug fixes of any peripheral in this project (VBR/flicker/AL44/menu-blackout fixes per CHANGELOG and recent commits), so it is at least as well-modeled as Layer2, just harder to test without visible side effects."
Display,LTDC,CLUT (color lookup table) programming correctness,"Program CLUT entries, verify indexed-color output matches expected palette",,Not Covered,,Modeled,"gnw_h7b0_ltdc.c:354,904,930-946,1193-1218 implements real independent Layer1/Layer2 CLUT arrays (s->clut/s->clut2) with real L1CLUTWR/L2CLUTWR write-only-register-to-CLUT-entry decoding, not a stub."
Display,LTDC,Interrupt correctness (line/FIFO underrun/transfer error),"Force each IRQ condition, verify ISR flags and recovery",,Not Covered,,Partial,"gnw_h7b0_ltdc.c:330 sets ISR.LIF (line interrupt flag) for real, but FIFO-underrun (FUIF) and transfer-error (TERRIF) conditions were not found in a grep of the file - line-interrupt IRQ path is modeled, underrun/error IRQ paths appear unimplemented."
Display,DMA2D,R2M solid-fill throughput+correctness,Timed fill + readback verify,case_dma2d_fill.c,Covered,"Caught a real QEMU fill-color double-conversion bug, since fixed upstream",Modeled,"hw/display/gnw_h7b0_dma2d.c's R2M fill mode was fixed (CHANGELOG: OCOLR double-conversion bug fixed) and is a real, correct implementation."
Display,DMA2D,M2M_PFC pixel-format conversion correctness,"ARGB8888->RGB565 conversion, 12-pattern buffer, verified vs software reference",case_dma2d_pfc_convert.c,Covered,,Modeled,gnw_h7b0_dma2d.c:47-236 implements real per-format input/output pixel conversion (RGB565/ARGB1555/ARGB4444/L8) verified against a software reference by this passing case.
Display,DMA2D,M2M_BLEND alpha-compositing correctness,"out=src*a/255+dst*(1-a/255) per-channel, verified vs software reference",,Not Covered,"Deliberately deferred, see Wave C write-up in test-coverage-plan.md",Modeled,"gnw_h7b0_dma2d.c:266-517 implements a real shared blend_over helper used by M2M_BLEND/M2M_BLEND_FG/M2M_BLEND_BG (the BLEND_BG/BLEND_FG ""fixed color"" modes were added specifically per CHANGELOG to fix real cover-art corruption), not a stub."
Display,DMA2D,Other output formats (ARGB1555/ARGB4444/L8/AL44/AL88),PFC-convert case repeated for each additional output ColorMode,,Not Covered,Only RGB565 output currently tested,Partial,"gnw_h7b0_dma2d.c:212-236 implements ARGB1555/ARGB4444 output alongside RGB565, but a grep found no AL44/AL88 output-format handling in DMA2D specifically (AL44 fixes found were in LTDC, not DMA2D) - those two formats are likely unimplemented for DMA2D output."
Display,DMA2D,Line/register-to-memory modes beyond solid fill,"If supported by this DMA2D revision, timed+correctness case",,Not Covered,Unconfirmed whether this DMA2D IP revision supports anything beyond R2M/M2M/M2M_PFC/M2M_BLEND - check RM before assuming more modes exist,Modeled,"gnw_h7b0_dma2d.c implements R2M, M2M, M2M_PFC, and M2M_BLEND/BLEND_FG/BLEND_BG - the full mode set this real H7 DMA2D IP revision actually supports; no further modes exist on real silicon either, so there's no gap."
Display,JPEG,Hardware JPEG decode/encode correctness+throughput,"Known JPEG bitstream decoded via HAL_JPEG, compare pixel output to reference decoder",,Not Covered,"JPGDECEN clock is enabled at boot (stm32h7xx_hal_msp.c) but never actually used by any case - live capability with zero test coverage, worth prioritizing",Modeled,"hw/misc/gnw_h7b0_jpeg.c is a real device implementing a genuine DOR-register/guest-RAM output pipeline (CHANGELOG: replaced an RGB565 ""hack buffer"" hand-off) with real EOCF/IFTF/IFNFF/OFNEF status-flag semantics (jpeg.c:139-409) driving actual decode completion, not a stub."
Display,DCMI,Camera-interface capture correctness,Requires an external image sensor input - likely unavailable on this board,,Not Applicable to this board,No camera sensor populated/wired on Game & Watch hardware,N/A,"create_unimplemented_device(""DCMI"", ...) (gnw_h7b0_soc.c:220); mirrors diag CSV's N/A."
Audio,SAI1,DMA-driven playback item rate (Hz),Measured SAI1 DMA transfer rate vs expected sample rate,case_audio_sai1_rate.c,Partial,In progress - real-hardware DMA1/SAI1 bus-stall bug under active investigation (see test-coverage-plan.md Status section); currently reports 0 Hz on hardware,Partial,"In progress - real-hardware DMA1/SAI1 bus-stall bug under active investigation (see test-coverage-plan.md Status section); currently reports 0 Hz on hardware,Modeled,hw/misc/gnw_h7b0_sai1.c is a real device that decodes the actual configured sample rate from ACR1's MCKDIV/OSR bits (sai1.c:54) and snoops real DMA1 Stream0 transfer-complete ticks (gnw_h7b0_soc.c:280-281 comment) to pace a QEMU host audio voice - functional, though the diag project's own 0Hz-on-hardware finding is a real-hardware bug unrelated to QEMU."
Audio,SAI1,Sample-accuracy / waveform correctness,"Play known waveform, capture via DMA loopback or a second SAI block, compare samples",,Not Covered,No correctness check exists even conceptually; only a rate measurement is planned/attempted,Partial,sai1.c feeds real PCM sample data from DMA into a host audio voice (sai1.c:43-47 comment about scrambled L/R channel behavior when misconfigured) - functional sample delivery exists but no case verifies bit-exact waveform correctness end-to-end.
Audio,SAI1,Underrun/overrun error flag handling (WCKCFG/OVRUDR),"Deliberately starve/overfill FIFO, verify error flags set/clear per RM",,Partial,"WCKCFG/OVRUDR self-disable bug was investigated and fixed as a side effect of the rate-case debugging, but no dedicated case verifies the error-flag *mechanism* independent of that bug",Partial,"""WCKCFG/OVRUDR self-disable bug was investigated and fixed as a side effect of the rate-case debugging, but no dedicated case verifies the error-flag *mechanism* independent of that bug"",Modeled,sai1.c has real WCKCFG/OVRUDR flag handling (matched by grep) that was specifically fixed per this row's own Notes column referencing a real self-disable bug found and fixed."
Audio,SAI2,Any usage,Bring-up + basic transfer case,,Not Applicable to this board,G&W hardware has one audio output path (SAI1); SAI2 not wired/used,N/A,"create_unimplemented_device(""SAI2"", ...) (gnw_h7b0_soc.c:206); mirrors diag CSV's N/A."
Audio,SPDIFRX,S/PDIF receive correctness,Requires external S/PDIF source - unlikely present,,Not Applicable to this board,No S/PDIF interface on this board,N/A,"create_unimplemented_device(""SPDIFRX"", ...) (gnw_h7b0_soc.c:179); mirrors diag CSV's N/A."
Flash,Internal Flash (bank1),Read correctness (running firmware itself),Implicit - firmware executes from bank1 continuously,"(implicit, no dedicated case)",Covered,Not a dedicated test but continuous execution is itself a correctness signal,Modeled,gnw_h7b0_soc.c:159-161 backs flash bank1 with real RAM (optionally file-backed via bank1-image property); CPU boot/VTOR points here (soc.c:319) and executes from it continuously in every test run.
Flash,Internal Flash (bank2),Sequential read bandwidth,Timed sequential read,case_flash_bank2_read.c,Covered,,N/A,"Plain RAM/file-backed region (gnw_h7b0_soc.c:162-164); bandwidth is a host/TCG artifact, not a modeled hardware timing characteristic."
Flash,Internal Flash (bank2),"Read data correctness (content verification, not just bandwidth)",Compare read bytes against a known-programmed reference pattern,case_flash_bank2_read.c,Partial,Case file docstring should be checked to confirm whether it verifies content or only measures timing - flagged for a quick re-check,Partial,"Case file docstring should be checked to confirm whether it verifies content or only measures timing - flagged for a quick re-check,Modeled,Real RAM (or file-backed, per bank2-image property) backing gives byte-exact content correctness trivially, matching whatever was actually written/loaded there."
Flash,Internal Flash,Write/erase timing and correctness,"Erase+write+verify a small scratch region, timed",,Not Covered,Deliberately skipped per explicit user direction (real flash wear risk) - see test-coverage-plan.md item 4,Modeled,"hw/misc/gnw_h7b0_flash_r.c:27-71 implements real sector/bank erase side effects directly on the backing MemoryRegion (CHANGELOG: fixed a sector-erase stub that previously did nothing), and plain RAM writes give correct program semantics (no realistic wear/timing modeled, but QEMU has no wear-out concern either)."
Flash,Internal Flash,Option bytes read/write correctness,"Read FLASH_OPTSR_CUR/PRG, verify against known config (write is high-risk, read-only recommended)",,Not Covered,,Stub,gnw_h7b0_flash_r.c's non-erase registers (including OPTSR) are the generic reset-value/RMW-mask register array with no board-specific option-byte configuration content verified against real hardware.
Flash,External OSPI NOR,Command-mode Fast-Read (0x0B) bandwidth,"32x4KB command-mode reads, timed",case_extflash_ospi_read.c,Covered,,N/A,"hw/misc/gnw_h7b0_ospi.c is a real command-protocol device; bandwidth itself is a TCG/host-I/O artifact, not a modeled hardware timing characteristic."
Flash,External OSPI NOR,Command-mode read data correctness,Compare read content against known-programmed reference (e.g. firmware image checksum),case_extflash_ospi_read.c,Partial,"Content is read but meaningfulness of correctness check on QEMU is limited (register-level stub, zeros unless an extflash image is supplied) - real-hardware correctness depth should be double-checked",Partial,"""Content is read but meaningfulness of correctness check on QEMU is limited (register-level stub, zeros unless an extflash image is supplied) - real-hardware correctness depth should be double-checked"",Modeled,gnw_h7b0_ospi.c is a real command-decoder (not a register stub) with a genuine backing pointer into the extflash RAM region (gnw_h7b0_soc.c:373-374, gnw_h7b0_ospi_set_backing) so reads return real content whenever an extflash image is supplied - the diag CSV's own caveat about ""zeros unless an image is supplied"" is accurate but is a test-setup detail, not a device-model gap."
Flash,External OSPI NOR,Memory-mapped (XIP) mode bandwidth+correctness,Bring up quad fast-read memory-mapped mode with vendor-specific opcode + quad-enable,,Not Covered,"Deliberately out of scope - requires a quad-enable write, violates this project's 'never write to extflash' rule",Modeled,extflash is memory-mapped directly at EXTFLASH_BASE_ADDRESS as a real RAM/file-backed region (gnw_h7b0_soc.c:165-166) so XIP reads return real content without any special quad-enable emulation needed on the QEMU side.
Flash,External OSPI NOR,Write/erase correctness,"Program+erase a scratch region, verify",,Not Covered,"Deliberately out of scope - real, populated hardware, destructive",Modeled,"gnw_h7b0_ospi.c:163,413 implements real indirect-mode Program/Erase side effects persisted to the XIP backing store (CHANGELOG's flash-write fixes), so this is safe and functional to test under QEMU even though it's deliberately not tested on real hardware."
Flash,OSPI2,Any usage,Bring-up + read case,,Not Applicable to this board,G&W hardware only populates one external NOR flash on OSPI1; OSPI2 unused,N/A,"octospi2 is realized as a real gnw_h7b0_ospi.c instance (gnw_h7b0_soc.c:376-382) but has no backing pointer set (unlike octospi1), matching the diag CSV's N/A since real hardware doesn't populate it either."
Flash,SDMMC1/SDMMC2,"SD/eMMC card detect, read/write, DMA transfer correctness","Bring up SDMMC + a card, correctness+throughput case",,Not Applicable to this board,No SD/eMMC slot on Game & Watch hardware,N/A,"create_unimplemented_device for both SDMMC1 (gnw_h7b0_soc.c:230) and SDMMC2 (gnw_h7b0_soc.c:224); mirrors diag CSV's N/A. Note: SD-card testing in this project goes through the real SPI1 ""sd-card"" mode (gnw_h7b0_spi.c), not SDMMC."
Flash,QUADSPI (legacy),Any usage,N/A - superseded by OCTOSPI1/2 on this chip,,Not Applicable to this board,"STM32H7B0 uses OCTOSPI, not the legacy QUADSPI block present on some other H7 variants - confirm this block isn't actually present/used on H7B0 specifically",N/A,No QUADSPI device object or unimplemented stub exists at all in gnw_h7b0_soc.c; consistent with the diag CSV's N/A conclusion that the block isn't present on H7B0.
Comms,UART/USART,USART1 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired on G&W board (no exposed UART header/pins used by this firmware),N/A,"create_unimplemented_device(""USART1"", ...) (gnw_h7b0_soc.c:197); mirrors diag CSV's N/A."
Comms,UART/USART,USART2 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""USART2"", ...) (gnw_h7b0_soc.c:180)."
Comms,UART/USART,USART3 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""USART3"", ...) (gnw_h7b0_soc.c:181)."
Comms,UART/USART,USART6 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""USART6"", ...) (gnw_h7b0_soc.c:198)."
Comms,UART/USART,USART9 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""USART9"", ...) (gnw_h7b0_soc.c:199)."
Comms,UART/USART,USART10 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""USART10"", ...) (gnw_h7b0_soc.c:200)."
Comms,UART/USART,UART4 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""UART4"", ...) (gnw_h7b0_soc.c:182)."
Comms,UART/USART,UART5 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""UART5"", ...) (gnw_h7b0_soc.c:183)."
Comms,UART/USART,UART7 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""UART7"", ...) (gnw_h7b0_soc.c:188)."
Comms,UART/USART,UART8 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,not wired,N/A,"create_unimplemented_device(""UART8"", ...) (gnw_h7b0_soc.c:189)."
Comms,UART/USART,LPUART1 polled/IT/DMA TX-RX + baud accuracy,"Loopback TX/RX at known baud, verify bytes+timing",,Not Applicable to this board,"not wired (Wave A register audit noted LPUART1 ISR HW-vs-SVD divergence though, worth a targeted register-only check)",Stub,hw/misc/gnw_h7b0_lpuart1.c is a real device model but only the generic reset-value/RMW-mask register array (CHANGELOG: added specifically to fix ISR's wrong 0x000000C0 reset value found by the diag suite) - no actual TX/RX byte transfer or baud-timing logic is implemented.
Comms,SPI,SPI1 (unclear usage) polled/IT/DMA correctness,"Loopback or known-slave transfer, verify data",,Not Covered,SPI1 clock enabled in stm32h7xx_hal_msp.c but purpose/wiring on this board not confirmed - needs investigation before marking N/A or Covered,Modeled,"hw/misc/gnw_h7b0_spi.c is a real device; SPI1 is specifically configured as the ""sd-card"" mode dedicated-pin SD-card path (gnw_h7b0_soc.c:47-50 comment), with real TXP/RXP/EOT status-flag fixes documented in the file (a real regression/full-guest-hang was found and fixed here per spi.c's own comments)."
Comms,SPI,SPI2 (LCD) transfer correctness,LCD command/data write correctness - implicit via visible LCD output,(implicit via MX_SPI2_Init/LTDC path),Partial,"SPI2 drives the LCD command interface; no dedicated timing/correctness case exists, only implicit use via display bring-up",Partial,"""SPI2 drives the LCD command interface; no dedicated timing/correctness case exists, only implicit use via display bring-up"",Modeled,Same real gnw_h7b0_spi.c device backs SPI2 (gnw_h7b0_soc.c:406-409); real LCD command/data transfer correctness is implicitly proven every time any LTDC-visible test/game boots successfully."
Comms,SPI,SPI3/SPI4/SPI5/SPI6,Any usage,,Not Applicable to this board,Not initialized anywhere in this firmware,N/A,"create_unimplemented_device for SPI3 (soc.c:178), SPI4 (soc.c:201), SPI5 (soc.c:205), SPI6 (soc.c:234); mirrors diag CSV's N/A."
Comms,I2C,I2C1/I2C2/I2C3/I2C4 transfer correctness,"Known-slave transaction (or loopback), verify ACK/data",,Not Applicable to this board,No I2C peripheral initialized; no I2C device evidently wired on this board's used pins,N/A,create_unimplemented_device for I2C1/I2C2/I2C3 (soc.c:184-186) and I2C4 (soc.c:235); mirrors diag CSV's N/A.
Comms,USB,OTG1_HS device/host enumeration+transfer correctness,"Bring up USB stack, verify enumeration and a bulk transfer",,Not Applicable to this board,No USB usage in this firmware; G&W's USB (if any) is not exercised by this project,N/A,create_unimplemented_device for OTG1_HS_GLOBAL/HOST/DEVICE/PWRCLK (soc.c:216-219); mirrors diag CSV's N/A.
Comms,FDCAN1/2,CAN frame TX/RX correctness (loopback mode),"Configure CAN in internal loopback, send/receive known frame, verify",,Not Applicable to this board,No CAN transceiver on this board; FDCAN is a known QEMU unimplemented-stub per Wave A audit (`neither-matches` bucket),N/A,"create_unimplemented_device(""FDCAN"", ...) and (""TT_FDCAN"", ...) (soc.c:193-194); mirrors diag CSV's N/A, consistent with its own Wave A finding."
Comms,MDIOS,Ethernet MDIO slave correctness,N/A - no Ethernet MAC/PHY on this chip/board,,Not Applicable to this board,STM32H7B0 has no Ethernet MAC; MDIOS block present in SVD is likely vestigial/shared IP,N/A,"create_unimplemented_device(""MDIOS"", ...) (soc.c:192); mirrors diag CSV's N/A."
Comms,SWPMI,Single-wire protocol master correctness,N/A - no SWPMI device on this board,,Not Applicable to this board,,N/A,"create_unimplemented_device(""SWPMI"", ...) (soc.c:190); mirrors diag CSV's N/A."
Comms,CEC,HDMI-CEC correctness,N/A - no HDMI on this board,,Not Applicable to this board,,N/A,"create_unimplemented_device(""CEC"", ...) (soc.c:187); mirrors diag CSV's N/A."
Timers,TIM1 (advanced),PWM output correctness (e.g. backlight or motor use),"Configure PWM channel, measure output duty/freq via capture or loopback",,Not Covered,TIM1 clock enabled in stm32h7xx_hal_msp.c but no case exercises it directly - purpose on this board (likely backlight PWM alongside DAC) needs confirming,Stub,hw/misc/gnw_h7b0_tim1.c (84 lines) is an auto-generated register-array stub with only an EGR-write-only-reads-as-0 fix (tim1.c) layered on top - no PWM counter/comparator/duty-cycle output logic exists.
Timers,TIM1,Input capture / encoder mode,"Feed known edge pattern, verify captured timestamps",,Not Covered,,Stub,Same gnw_h7b0_tim1.c stub as above; no capture/compare logic implemented.
Timers,TIM2/3/4/5 (general-purpose 32-bit),"Update-interrupt timing accuracy, one-pulse mode","Timed update-IRQ interval vs expected, cross-target comparison",,Not Covered,None of these timers initialized anywhere in this firmware,Modeled,"hw/misc/gnw_h7b0_tim2.c is a real counter model (not a stub) with a QEMUTimer-driven update-interrupt/UIF and one-pulse-mode self-stop (tim2.c:76-208), built specifically to fix a real ""EGR.UG spin on SR.UIF never terminates"" firmware hang; correctly derives timer_clk = 2x PCLK1 per docs/h7b0-clock-tree-findings.md. Note this single device backs the ""TIM2 block"" address; TIM3/4/5 map to it if wired identically or are otherwise plain-RAM placeholders per soc.c's comments - only TIM2 itself is confirmed real."
Timers,TIM6/7 (basic),Update-interrupt timing accuracy,Same as above,,Not Covered,Not initialized,Not Modeled,"No dedicated TIM6/7 device object exists in gnw_h7b0_soc.c; not covered by the TIM2-block model and not stubbed as unimplemented either, per the soc.c comment ""TIM2/3/4/5/6/7/12/13/14 -- plain RAM placeholder."""
Timers,TIM8 (advanced),PWM/capture correctness,Same as TIM1,,Not Applicable to this board,"Not initialized, no evident board wiring",N/A,"create_unimplemented_device(""TIM8"", ...) (soc.c:196); mirrors diag CSV's N/A."
Timers,TIM12-17 (general-purpose 16-bit),PWM/capture/one-pulse correctness,Same pattern,,Not Applicable to this board,Not initialized,N/A,create_unimplemented_device for TIM15/16/17 (soc.c:202-204); TIM12-14 have no device object at all (plain RAM placeholder per soc.c's TIM2-block comment). Mirrors diag CSV's N/A either way.
Timers,LPTIM1/2/3,Low-power timer wake-from-Stop correctness,"Configure LPTIM wake source, enter Stop, verify wake timing",,Not Covered,Relevant to the untested Stop-mode power category above; not initialized currently,Not Modeled,create_unimplemented_device for LPTIM2/LPTIM3 only (soc.c:236-237); LPTIM1 has no device object/stub at all in gnw_h7b0_soc.c - entirely absent.
Timers,HRTIM (Master+TIMA-E),High-resolution PWM correctness,"Configure a channel, verify sub-cycle timing resolution vs expected",,Not Applicable to this board,No evident use case on G&W hardware (typically power-conversion/motor-control silicon feature),N/A,create_unimplemented_device for HRTIM_Master/TIMA-E/Common (soc.c:207-213); mirrors diag CSV's N/A.
Timers,SysTick,1ms tick accuracy,Cross-checked already via DWT-vs-SysTick case,case_clock_dwt_systick_check.c,Covered,,Modeled,"armv7m.c's generic SysTick, clocked from the real RCC-derived sysclk (gnw_h7b0_soc.c:320-321), is architecturally exact and already cross-checked against real DWT_CYCCNT by this passing case."
